Item,Source,Type,Shots,Size,Paid,Notes
Pro Shells (BD 24pk),2026 receipt,mortar shells,24,"1.75""",$60,Red Box Pro Shells canister shells; neon colors/strobe/chrys breaks
Pro Shells (leftover),2025 leftover,mortar shells,38,"1.75""",-,User-confirmed count: exactly 38; total Pro Shells = 62
Divine Beast Shells,2026 receipt,mortar shells,24,"6"" (marketing)",$80,USER-CONFIRMED 24 shells; full restock - no leftovers
American Eagle,2026 receipt,500g cake,170,-,$28,Low sparkling R/W/B ground-cover fan; swapped in for War Cry
100 Shot Neon Pearls NXP,2026 receipt,200g cake,100,-,$10,Pairs with leftover Neon Pearls for simultaneous wall
Insurgent NXP,2026 receipt,200g cake,-,-,$10,Loud breaks filler
Bad Ass Brocade,2026 receipt,compound 3-pack,250,-,$98,USER-CONFIRMED 3-pack (one SKU); FINALE anchor; golden brocade blitz
God of Thunder,2026 receipt,500g cake,23,-,$40,Orange brocade into massive silver crackle cloud; fast 0:23
The Duel,2026 receipt,500g cake,200,-,$28,Red glitter tails + blue stars; crackling chrys finish
Magical Neon Willow,2026 receipt,500g cake,26,-,$36,Neon breaks into large hanging willows with fanned shots
Zeus,2026 receipt,500g cake,70,-,$40,Gold glitter mines w/ blue stars to breaks + crackle; 3-shot finale
Nuclear Rain,2026 receipt,500g cake,36,-,$40,Glowing green bursts raining down as falling willow trails
Rainbow Crush,2026 receipt,500g cake,45,-,$32,Multicolor rainbow breaks
Juggernaut,2026 receipt,500g cake,22,-,$32,Gold-orange brocade/willow breaks with red accents; 0:37
Nothing But Balls NXP,2026 receipt,200g cake x2,100 each,-,$20,Pair; crackling colorful balls; opener crackle wall
War Cry,2025 leftover,200g cake,56,-,-,Screaming whistles
Neon Swarm,2025 leftover,200g cake,16,-,-,Swarming neon effects
Leviathan,2025 leftover,500g cake,16,-,-,High + low small breaks (not a Pro Fireworks product)
Black Panther,2025 leftover,500g cake,12,-,-,Avengers series; sequential breaks
Captain Marvel,2025 leftover,500g cake,12,-,-,Avengers series; whistle tails to brocade crowns w/ neon
Wild Willow,2025 leftover,500g cake,25,-,-,Drooping willows in green/red/pink; 0:42
#WOW,2025 leftover,500g cake,49,-,-,Best-selling finale cake; rapid mixed-color volleys
Neon Pearls,2025 leftover,200g cake,100,-,-,Second half of the simultaneous pair
Strobe,2025 leftover,strobe,1,-,-,USER-CONFIRMED include this year (draft said no strobe - update design)
